143,141,136,0,0,0,0,0,35,20,118080
143,141,136,0,0,0,0,0,35,20,119280
143,141,136,0,0,0,0,0,35,20,120480
143,141,136,0,0,0,0,0,35,20,121680
143,141,136,0,0,0,0,0,35,20,122880
143,141,136,0,0,0,0,0,35,20,124180
143,142,136,0,0,0,0,0,35,20,125280
143,141,136,0,0,0,0,0,35,20,126480
143,142,136,0,0,0,0,0,35,20,127680
143,141,136,0,0,0,0,0,35,20,128880
143,142,136,0,0,0,0,0,35,20,130080
143,141,136,0,0,0,0,0,35,20,131485
143,142,136,0,0,0,0,0,35,20,132485
143,141,136,0,0,0,0,0,35,20,133685
143,141,136,0,0,0,0,0,35,20,134885
143,141,136,0,0,0,0,0,35,21,136290
143,142,134,0,0,0,0,0,35,21,137495
142,142,134,0,0,0,0,0,35,20,138510
175,13,118,0,0,0,0,0,03,00,139060
177,13,115,0,0,0,0,0,03,00,139060
177,13,115,0,0,0,0,0,03,00,139060
177,13,113,0,0,0,0,0,03,00,139060
177,13,112,0,0,0,0,0,03,00,139060
177,13,111,0,0,0,0,0,03,00,139060
177,13,109,0,0,0,0,0,03,00,139060
177,13,108,0,0,0,0,0,03,00,139060
178,13,107,0,0,0,0,0,03,00,139060
178,13,106,0,0,0,0,0,03,00,139060
177,13,105,0,0,0,0,0,03,00,139060
178,13,104,0,0,0,0,0,03,00,139060
178,13,103,0,0,0,0,0,03,00,139060
178,13,103,0,0,0,0,0,03,00,139060
178,13,101,0,0,0,0,0,03,00,139060
178,13,101,0,0,0,0,0,03,00,139060
145,141,133,0,0,0,0,0,35,21,139685
144,141,135,0,0,0,0,0,35,21,140935
144,141,136,0,0,0,0,0,35,21,142055
143,141,137,0,0,0,0,0,35,20,143255
143,141,136,0,0,0,0,0,35,20,144455
143,142,136,0,0,0,0,0,35,20,145660
144,142,137,0,0,0,0,0,35,20,146860
143,141,136,0,0,0,0,0,35,20,148060
143,142,136,0,0,0,0,0,35,20,149260
143,142,136,0,0,0,0,0,35,21,150670
143,141,136,0,0,0,0,0,35,20,151670
144,141,137,0,0,0,0,0,35,20,152870
143,141,136,0,0,0,0,0,35,20,154070
144,141,135,0,0,0,0,0,35,20,155270
143,141,134,0,0,0,0,0,35,20,156490
175,13,118,0,0,0,0,0,03,00,157305
177,13,116,0,0,0,0,0,03,00,157305
177,13,115,0,0,0,0,0,03,00,157305
177,13,113,0,0,0,0,0,03,00,157305
177,13,112,0,0,0,0,0,03,00,157305
177,13,110,0,0,0,0,0,03,00,157305
177,13,109,0,0,0,0,0,03,00,157305
177,13,108,0,0,0,0,0,03,00,157305
178,13,107,0,0,0,0,0,03,00,157305
178,13,106,0,0,0,0,0,03,00,157305
178,13,104,0,0,0,0,0,03,00,157305
178,13,103,0,0,0,0,0,03,00,157305
178,13,102,0,0,0,0,0,03,00,157305
178,13,102,0,0,0,0,0,03,00,157305
178,13,101,0,0,0,0,0,03,00,157305
178,13,100,0,0,0,0,0,03,00,157305
178,13,99,0,0,0,0,0,03,00,157305
178,13,98,0,0,0,0,0,03,00,157305
178,13,97,0,0,0,0,0,03,00,157305
178,13,97,0,0,0,0,0,03,00,157305
178,13,96,0,0,0,0,0,03,00,157305
